service_name,language,has_upstream,has_downstream,is_leaf,is_root,upstream_count,downstream_count,transitive_downstream,transitive_upstream,total_coupling,betweenness_centrality,pagerank,in_degree_centrality,out_degree_centrality,fan_in,fan_out,coupling_ratio,max_path_depth,error_rate,latency_p99_ms,requests_per_day,health_score,complexity_score,project
teastore-db,unknown,1,0,1,0,1,0,0,1,1,0.0,0.030593387936708676,0.04,0.0,1,0,0.0,0,0.0014,104.6,4029.0,99.5,0.009,TeaStore
teastore-registry,unknown,1,0,1,0,5,0,0,7,5,0.0,0.08834286569987766,0.2,0.0,5,0,0.0,0,0.0023,113.3,9746.0,98.7,0.027,TeaStore
teastore-persistence,unknown,0,1,0,1,0,3,3,0,3,0.0,0.023838943570598507,0.0,0.12,0,3,3.0,1,0.0455,1003.6,3360.0,54.6,0.907,TeaStore
teastore-auth,unknown,1,1,0,0,1,2,2,1,3,0.0011111111111111111,0.030593387936708676,0.04,0.08,1,2,2.0,1,0.0309,704.8,4029.0,69.5,0.61,TeaStore
teastore-image,unknown,0,1,0,1,0,2,2,0,2,0.0,0.023838943570598507,0.0,0.08,0,2,2.0,1,0.0308,703.6,3360.0,69.6,0.607,TeaStore
teastore-recommender,unknown,1,1,0,0,1,2,2,1,3,0.0011111111111111111,0.030593387936708676,0.04,0.08,1,2,2.0,1,0.0309,704.8,4029.0,69.5,0.61,TeaStore
teastore-webui,unknown,1,1,0,0,2,2,2,2,4,0.0044444444444444444,0.05085672103503918,0.08,0.08,2,2,1.0,1,0.0312,708.5,6035.0,69.1,0.617,TeaStore
teastore-all,unknown,0,0,1,1,0,0,0,0,0,0.0,0.023838943570598507,0.0,0.0,0,0,0.0,0,0.0014,103.6,3360.0,99.6,0.007,TeaStore
teastore-kieker-rabbitmq,unknown,1,0,1,0,5,0,0,7,5,0.0,0.08834286569987766,0.2,0.0,5,0,0.0,0,0.0023,113.3,9746.0,98.7,0.027,TeaStore
tools.descartes.teastore.database,docker,0,0,1,1,0,0,0,0,0,0.0,0.023838943570598507,0.0,0.0,0,0,0.0,0,0.0014,103.6,3360.0,99.6,0.007,TeaStore
tools.descartes.teastore.docker.all,docker,0,1,0,1,0,8,8,0,8,0.0,0.023838943570598507,0.0,0.32,0,8,8.0,1,0.05,2000.0,3360.0,20.0,2.407,TeaStore
tools.descartes.teastore.kieker.rabbitmq,java,0,0,1,1,0,0,0,0,0,0.0,0.023838943570598507,0.0,0.0,0,0,0.0,0,0.0014,103.6,3360.0,99.6,0.007,TeaStore
tools.descartes.teastore.dockerbase,docker,1,1,0,0,1,1,1,1,2,0.0,0.02637186020788982,0.04,0.04,1,1,1.0,1,0.0161,404.0,3611.0,84.6,0.308,TeaStore
tools.descartes.teastore.webui,java,1,1,0,0,1,1,1,1,2,0.0,0.02637186020788982,0.04,0.04,1,1,1.0,1,0.0161,404.0,3611.0,84.6,0.308,TeaStore
tools.descartes.teastore.recommender,java,1,1,0,0,1,1,1,1,2,0.0,0.02637186020788982,0.04,0.04,1,1,1.0,1,0.0161,404.0,3611.0,84.6,0.308,TeaStore
tools.descartes.teastore.persistence,java,1,1,0,0,1,1,1,1,2,0.0,0.02637186020788982,0.04,0.04,1,1,1.0,1,0.0161,404.0,3611.0,84.6,0.308,TeaStore
tools.descartes.teastore.registry,java,1,1,0,0,2,1,1,2,3,0.0,0.03650352675705507,0.08,0.04,2,1,0.5,1,0.0162,405.5,4614.0,84.5,0.311,TeaStore
tools.descartes.teastore.image,java,1,0,1,0,1,0,0,1,1,0.0,0.02637186020788982,0.04,0.0,1,0,0.0,0,0.0014,104.0,3611.0,99.6,0.008,TeaStore
tools.descartes.teastore.auth,java,1,1,0,0,1,1,1,1,2,0.0,0.02637186020788982,0.04,0.04,1,1,1.0,1,0.0161,404.0,3611.0,84.6,0.308,TeaStore
e2e-tests,javascript,0,1,0,1,0,3,5,0,3,0.0,0.023838943570598507,0.0,0.12,0,3,3.0,2,0.0455,1003.6,3360.0,54.6,0.907,TeaStore
tools.descartes.teastore.dockermemoryconfigurator,java,0,1,0,1,0,1,1,0,1,0.0,0.023838943570598507,0.0,0.04,0,1,1.0,1,0.0161,403.6,3360.0,84.6,0.307,TeaStore
tools.descartes.teastore.kieker.probes,java,0,0,1,1,0,0,0,0,0,0.0,0.023838943570598507,0.0,0.0,0,0,0.0,0,0.0014,103.6,3360.0,99.6,0.007,TeaStore
tools.descartes.teastore.registryclient,java,0,1,0,1,0,2,2,0,2,0.0,0.023838943570598507,0.0,0.08,0,2,2.0,1,0.0308,703.6,3360.0,69.6,0.607,TeaStore
tools.descartes.teastore.entities,java,0,0,1,1,0,0,0,0,0,0.0,0.023838943570598507,0.0,0.0,0,0,0.0,0,0.0014,103.6,3360.0,99.6,0.007,TeaStore
plugins,javascript,1,0,1,0,9,0,0,9,9,0.0,0.19987537290350355,0.36,0.0,9,0,0.0,0,0.0039,130.0,20788.0,97.0,0.06,TeaStore
support,javascript,0,1,0,1,0,1,3,0,1,0.0,0.023838943570598507,0.0,0.04,0,1,1.0,2,0.0161,403.6,3360.0,84.6,0.307,TeaStore
