service_name,language,has_upstream,has_downstream,is_leaf,is_root,upstream_count,downstream_count,transitive_downstream,transitive_upstream,total_coupling,betweenness_centrality,pagerank,in_degree_centrality,out_degree_centrality,fan_in,fan_out,coupling_ratio,max_path_depth,error_rate,latency_p99_ms,requests_per_day,health_score,complexity_score,project
emailservice,python,1,0,1,0,1,0,0,3,1,0.0,0.054099566776153046,0.06666666666666667,0.0,1,0,0.0,0,0.0018,108.1,6356.0,99.2,0.016,online-boutique
checkoutservice,go,1,1,0,0,1,6,7,2,7,0.01904761904761905,0.055350721799160896,0.06666666666666667,0.4,1,6,6.0,2,0.05,1912.1,6480.0,20.0,1.824,online-boutique
recommendationservice,python,1,1,0,0,1,1,1,2,2,0.0,0.055350721799160896,0.06666666666666667,0.06666666666666667,1,1,1.0,1,0.0165,408.3,6480.0,84.2,0.317,online-boutique
frontend,go,1,1,0,0,1,8,11,1,9,0.05238095238095239,0.08557744053222022,0.06666666666666667,0.5333333333333333,1,8,8.0,2,0.05,2000.0,9472.0,20.0,2.447,online-boutique
frontend-external,unknown,0,0,1,1,0,0,0,0,0,0.0,0.046258263192698955,0.0,0.0,0,0,0.0,0,0.0017,106.9,5580.0,99.3,0.014,online-boutique
paymentservice,javascript,1,0,1,0,1,0,0,3,1,0.0,0.054099566776153046,0.06666666666666667,0.0,1,0,0.0,0,0.0018,108.1,6356.0,99.2,0.016,online-boutique
productcatalogservice,go,1,0,1,0,3,0,0,4,3,0.0,0.11023984688333957,0.2,0.0,3,0,0.0,0,0.0026,116.5,11914.0,98.3,0.033,online-boutique
cartservice,csharp,1,1,0,0,2,1,1,3,3,0.014285714285714287,0.06319202538261498,0.13333333333333333,0.06666666666666667,2,1,0.5,1,0.0169,412.3,7256.0,83.8,0.325,online-boutique
redis-cart,unknown,1,0,1,0,1,0,0,4,1,0.0,0.09997156291684972,0.06666666666666667,0.0,1,0,0.0,0,0.0025,115.0,10897.0,98.5,0.03,online-boutique
currencyservice,javascript,1,0,1,0,2,0,0,3,2,0.0,0.06319202538261498,0.13333333333333333,0.0,2,0,0.0,0,0.0019,109.5,7256.0,99.1,0.019,online-boutique
shippingservice,go,1,0,1,0,2,0,0,3,2,0.0,0.06319202538261498,0.13333333333333333,0.0,2,0,0.0,0,0.0019,109.5,7256.0,99.1,0.019,online-boutique
adservice,java,1,0,1,0,1,0,0,2,1,0.0,0.055350721799160896,0.06666666666666667,0.0,1,0,0.0,0,0.0018,108.3,6480.0,99.2,0.017,online-boutique
opentelemetrycollector,unknown,0,0,1,1,0,0,0,0,0,0.0,0.046258263192698955,0.0,0.0,0,0,0.0,0,0.0017,106.9,5580.0,99.3,0.014,online-boutique
shoppingassistantservice,python,1,0,1,0,1,0,0,2,1,0.0,0.055350721799160896,0.06666666666666667,0.0,1,0,0.0,0,0.0018,108.3,6480.0,99.2,0.017,online-boutique
loadgenerator,python,0,1,0,1,0,1,12,0,1,0.0,0.046258263192698955,0.0,0.06666666666666667,0,1,1.0,3,0.0164,406.9,5580.0,84.3,0.314,online-boutique
Health,proto,0,0,1,1,0,0,0,0,0,0.0,0.046258263192698955,0.0,0.0,0,0,0.0,0,0.0017,106.9,5580.0,99.3,0.014,online-boutique
