from_service,to_service,dep_type,subtype,confidence,tier,evidence,sources,topic_or_table,conditional
checkoutservice,productcatalogservice,endpoint,http,0.9,confirmed,env PRODUCT_CATALOG_SERVICE_ADDR=productcatalogservice:3550 | env PRODUCT_CATALOG_SERVICE_ADDR=productcatalogservice:3550 | env PRODUCT_CATALOG_SERVICE_ADDR=productcatalogservice:3550,k8s_env,,False
checkoutservice,shippingservice,endpoint,http,0.9,confirmed,env SHIPPING_SERVICE_ADDR=shippingservice:50051 | env SHIPPING_SERVICE_ADDR=shippingservice:50051 | env SHIPPING_SERVICE_ADDR=shippingservice:50051,k8s_env,,False
checkoutservice,paymentservice,endpoint,http,0.9,confirmed,env PAYMENT_SERVICE_ADDR=paymentservice:50051 | env PAYMENT_SERVICE_ADDR=paymentservice:50051 | env PAYMENT_SERVICE_ADDR=paymentservice:50051,k8s_env,,False
checkoutservice,emailservice,endpoint,http,0.9,confirmed,env EMAIL_SERVICE_ADDR=emailservice:5000 | env EMAIL_SERVICE_ADDR=emailservice:5000 | env EMAIL_SERVICE_ADDR=emailservice:5000,k8s_env,,False
checkoutservice,currencyservice,endpoint,http,0.9,confirmed,env CURRENCY_SERVICE_ADDR=currencyservice:7000 | env CURRENCY_SERVICE_ADDR=currencyservice:7000 | env CURRENCY_SERVICE_ADDR=currencyservice:7000,k8s_env,,False
checkoutservice,cartservice,endpoint,http,0.9,confirmed,env CART_SERVICE_ADDR=cartservice:7070 | env CART_SERVICE_ADDR=cartservice:7070 | env CART_SERVICE_ADDR=cartservice:7070,k8s_env,,False
recommendationservice,productcatalogservice,endpoint,http,0.9,confirmed,env PRODUCT_CATALOG_SERVICE_ADDR=productcatalogservice:3550 | env PRODUCT_CATALOG_SERVICE_ADDR=productcatalogservice:3550 | env PRODUCT_CATALOG_SERVICE_ADDR=productcatalogservice:3550,k8s_env,,False
frontend,productcatalogservice,endpoint,http,0.9,confirmed,env PRODUCT_CATALOG_SERVICE_ADDR=productcatalogservice:3550 | env PRODUCT_CATALOG_SERVICE_ADDR=productcatalogservice:3550 | env PRODUCT_CATALOG_SERVICE_ADDR=productcatalogservice:3550,k8s_env,,False
frontend,currencyservice,endpoint,http,0.9,confirmed,env CURRENCY_SERVICE_ADDR=currencyservice:7000 | env CURRENCY_SERVICE_ADDR=currencyservice:7000 | env CURRENCY_SERVICE_ADDR=currencyservice:7000,k8s_env,,False
frontend,cartservice,endpoint,http,0.9,confirmed,env CART_SERVICE_ADDR=cartservice:7070 | env CART_SERVICE_ADDR=cartservice:7070 | env CART_SERVICE_ADDR=cartservice:7070,k8s_env,,False
frontend,recommendationservice,endpoint,http,0.9,confirmed,env RECOMMENDATION_SERVICE_ADDR=recommendationservice:8080 | env RECOMMENDATION_SERVICE_ADDR=recommendationservice:8080 | env RECOMMENDATION_SERVICE_ADDR=recommendationservice:8080,k8s_env,,False
frontend,shippingservice,endpoint,http,0.9,confirmed,env SHIPPING_SERVICE_ADDR=shippingservice:50051 | env SHIPPING_SERVICE_ADDR=shippingservice:50051 | env SHIPPING_SERVICE_ADDR=shippingservice:50051,k8s_env,,False
frontend,checkoutservice,endpoint,http,0.9,confirmed,env CHECKOUT_SERVICE_ADDR=checkoutservice:5050 | env CHECKOUT_SERVICE_ADDR=checkoutservice:5050 | env CHECKOUT_SERVICE_ADDR=checkoutservice:5050,k8s_env,,False
frontend,adservice,endpoint,http,0.9,confirmed,env AD_SERVICE_ADDR=adservice:9555 | env AD_SERVICE_ADDR=adservice:9555 | env AD_SERVICE_ADDR=adservice:9555,k8s_env,,False
frontend,shoppingassistantservice,endpoint,http,0.9,confirmed,env SHOPPING_ASSISTANT_SERVICE_ADDR=shoppingassistantservice:80 | env SHOPPING_ASSISTANT_SERVICE_ADDR=shoppingassistantservice:80 | env SHOPPING_ASSISTANT_SERVICE_ADDR=shoppingassistantservice:80,k8s_env,,False
loadgenerator,frontend,endpoint,http,0.9,confirmed,env FRONTEND_ADDR=frontend:80 | env FRONTEND_ADDR=frontend:80 | env FRONTEND_ADDR=frontend:80,k8s_env,,False
__external__,frontend,endpoint,http,0.9,confirmed,Ingress → frontend,k8s_ingress,,False
emailservice,opentelemetry,observability,jaeger,0.9,observability,requirements.txt: opentelemetry-api | requirements.txt: opentelemetry-distro | requirements.txt: opentelemetry-exporter-otlp-proto-common,"code_sdk,build_file",,False
checkoutservice,opentelemetry,observability,jaeger,0.9,observability,go.mod: go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc | go.mod: go.opentelemetry.io/otel | go.mod: go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc,"code_sdk,build_file",,False
recommendationservice,opentelemetry,observability,jaeger,0.9,observability,requirements.txt: opentelemetry-api | requirements.txt: opentelemetry-distro | requirements.txt: opentelemetry-exporter-otlp-proto-common,"code_sdk,build_file",,False
